CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Indiana, PA",26860,19/06/2022,42.0,Good,Ozone,42-063-0004,1
"Durham-Chapel Hill, NC",20500,13/05/2022,27.0,Good,Ozone,37-063-0015,2
"Sheboygan, WI",43100,11/05/2022,47.0,Good,Ozone,55-117-0009,2
"Red Bluff, CA",39780,15/04/2022,43.0,Good,Ozone,06-103-0004,2
"Visalia-Porterville, CA",47300,3/07/2022,44.0,Good,Ozone,06-107-0009,2
"Kansas City, MO-KS",28140,3/03/2022,74.0,Moderate,PM2.5,20-091-0010,11
"Whitewater-Elkhorn, WI",48580,20/07/2022,41.0,Good,Ozone,55-127-0006,1
"Worcester, MA-CT",49340,27/06/2022,43.0,Good,PM2.5,25-027-0023,4
"Great Falls, MT",24500,4/06/2022,18.0,Good,PM2.5,30-013-0001,1
"Torrington, CT",45860,13/02/2022,33.0,Good,Ozone,09-005-0005,1
"Platteville, WI",38420,2/04/2022,34.0,Good,PM2.5,55-043-0009,1
"Modesto, CA",33700,17/05/2022,45.0,Good,Ozone,06-099-0005,1
"Shelton, WA",43220,3/06/2022,10.0,Good,PM2.5,53-045-0007,1
"Greenville, NC",24780,9/02/2022,22.0,Good,,37-147-0006,1
"Portland-South Portland, ME",38860,11/07/2022,48.0,Good,Ozone,23-031-2002,5
"La Crosse-Onalaska, WI-MN",29100,28/07/2022,32.0,Good,Ozone,55-063-0012,1
"Elko, NV",21220,10/01/2022,14.0,Good,PM10,32-007-0005,1
"Mount Vernon-Anacortes, WA",34580,31/03/2022,58.0,Moderate,Ozone,53-057-0011,2
"Cape Coral-Fort Myers, FL",15980,18/05/2022,47.0,Good,Ozone,12-071-2002,2
"Des Moines-West Des Moines, IA",19780,21/07/2022,43.0,Good,PM2.5,19-153-0030,2
"Victoria, TX",47020,4/02/2022,31.0,Good,Ozone,48-469-0003,1
"The Dalles, OR",45520,27/05/2022,12.0,Good,PM2.5,41-065-0007,1
"Jamestown-Dunkirk-Fredonia, NY",27460,29/09/2022,27.0,Good,,36-013-0006,1
"Mount Vernon, IL",34500,3/02/2022,23.0,Good,PM2.5,17-065-0002,1
"Cheyenne, WY",16940,18/01/2022,41.0,Good,Ozone,56-021-0100,1
"La Grande, OR",29260,2/02/2022,23.0,Good,PM2.5,41-061-0120,2
"Manchester-Nashua, NH",31700,12/05/2022,45.0,Good,Ozone,33-011-5001,2
"Tucson, AZ",46060,24/08/2022,52.0,Moderate,PM10,04-019-0001,2
"Evanston, WY",21740,7/01/2022,3.0,Good,PM10,56-041-0201,2
"Bremerton-Silverdale, WA",14740,2/04/2022,16.0,Good,PM2.5,53-035-0007,1
"Terre Haute, IN",45460,14/02/2022,47.0,Good,PM2.5,18-167-0018,2
"Somerset, KY",43700,15/03/2022,46.0,Good,PM2.5,21-199-0003,1
"Detroit-Warren-Dearborn, MI",19820,20/02/2022,53.0,Moderate,PM2.5,26-163-0033,13
"Santa Fe, NM",42140,10/01/2022,39.0,Good,Ozone,35-049-0021,1
"Deming, NM",19700,21/04/2022,21.0,Good,PM10,35-029-0003,1
"Lewiston, ID-WA",30300,16/06/2022,30.0,Good,PM2.5,53-003-0004,3
"Johnstown, PA",27780,13/03/2022,42.0,Good,Ozone,42-021-0011,1
"Torrington, CT",45860,21/04/2022,46.0,Good,Ozone,09-005-0005,1
"Portland-Vancouver-Hillsboro, OR-WA",38900,26/07/2022,47.0,Good,PM2.5,53-011-0024,2
"Durango, CO",20420,4/02/2022,43.0,Good,Ozone,08-067-7001,3
"Manitowoc, WI",31820,14/08/2022,40.0,Good,Ozone,55-071-0007,1
"Evansville, IN-KY",21780,26/06/2022,43.0,Good,Ozone,18-173-0011,6
"Medford, OR",32780,23/04/2022,19.0,Good,PM2.5,41-029-2129,4
"Kalispell, MT",28060,18/03/2022,38.0,Good,Ozone,30-029-8001,4
"Fargo, ND-MN",22020,6/01/2022,28.0,Good,Ozone,38-017-1004,1
"Texarkana, TX-AR",45500,12/04/2022,54.0,Moderate,PM2.5,48-037-1031,1
"Riverton, WY",40180,20/06/2022,47.0,Good,Ozone,56-013-0099,4
"Chico, CA",17020,5/05/2022,,Good,Ozone,06-007-0007,4
"Sacramento--Roseville--Arden-Arcade, CA",40900,15/07/2022,90.0,Moderate,Ozone,06-061-0003,5
"Tucson, AZ",46060,15/08/2022,53.0,Moderate,,04-019-0020,2
"Albuquerque, NM",10740,16/05/2022,84.0,Moderate,Ozone,35-001-0023,7
"Spartanburg, SC",43900,8/04/2022,41.0,Good,Ozone,45-083-0009,2
"St. Cloud, MN",41060,1/04/2022,37.0,Good,Ozone,27-145-3052,1
"Albuquerque, NM",10740,21/01/2022,72.0,Moderate,PM10,35-001-0029,7
"Tucson, AZ",46060,22/01/2022,37.0,Good,Ozone,04-019-1030,15
"Birmingham-Hoover, AL",13820,17/02/2022,53.0,Moderate,PM2.5,01-073-1010,9
"Vernal, UT",46860,9/06/2022,67.0,Moderate,Ozone,49-047-1002,5
"Fargo, ND-MN",22020,9/07/2022,41.0,Good,Ozone,38-017-1004,1
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,26/03/2022,38.0,Good,Ozone,27-003-1001,18
"Omaha-Council Bluffs, NE-IA",36540,7/08/2022,48.0,Good,Ozone,31-055-0019,6
"Boston-Cambridge-Newton, MA-NH",14460,19/06/2022,28.0,Good,PM2.5,25-023-0005,14
"Seattle-Tacoma-Bellevue, WA",42660,21/03/2022,43.0,Good,Ozone,53-053-0012,17
"Fernley, NV",22280,8/01/2022,35.0,Good,Ozone,32-019-0006,1
"Boulder, CO",14500,29/07/2022,46.0,Good,Ozone,08-013-0014,2
"Palatka, FL",37260,19/03/2022,14.0,Good,PM10,12-107-1008,1
"Carson City, NV",16180,24/02/2022,40.0,Good,,32-510-0020,1
"Santa Rosa, CA",42220,2/01/2022,23.0,Good,Ozone,06-097-0004,4
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,5/05/2022,48.0,Good,Ozone,27-003-1001,19
"Erie, PA",21500,2/08/2022,18.0,Good,PM2.5,42-049-0003,1
"Spartanburg, SC",43900,20/09/2022,44.0,Good,PM2.5,45-083-0011,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,11/08/2022,32.0,Good,Ozone,36-029-0002,4
"Trenton, NJ",45940,23/04/2022,40.0,Good,Ozone,34-021-9991,3
"Mount Vernon, OH",34540,6/08/2022,34.0,Good,Ozone,39-083-0003,1
"Jackson, MS",27140,19/08/2022,34.0,Good,Ozone,28-049-0020,2
"Columbia, SC",17900,15/06/2022,57.0,Moderate,PM2.5,45-063-0008,5
"Watertown, SD",47980,16/06/2022,42.0,Good,Ozone,46-029-0002,1
"Albany, GA",10500,23/08/2022,32.0,Good,PM2.5,13-095-0007,1
"Spokane-Spokane Valley, WA",44060,8/05/2022,39.0,Good,Ozone,53-063-0046,7
"Crescent City, CA",18860,6/04/2022,32.0,Good,PM2.5,06-015-0007,1
"Fond du Lac, WI",22540,10/05/2022,61.0,Moderate,Ozone,55-039-0006,1
"Gainesville, GA",23580,6/03/2022,58.0,Moderate,PM2.5,13-139-0003,1
"Wabash, IN",47340,20/01/2022,34.0,Good,Ozone,18-169-9991,1
"Modesto, CA",33700,30/05/2022,41.0,Good,Ozone,06-099-0005,1
"Spokane-Spokane Valley, WA",44060,7/02/2022,44.0,Good,PM2.5,53-065-0005,6
"Daphne-Fairhope-Foley, AL",19300,23/05/2022,56.0,Moderate,PM2.5,01-003-0010,1
"Kokomo, IN",29020,3/08/2022,30.0,Good,PM2.5,18-067-0004,1
"Rocky Mount, NC",40580,23/04/2022,47.0,Good,Ozone,37-065-0099,1
"Mount Vernon, OH",34540,22/06/2022,100.0,Moderate,Ozone,39-083-0003,1
"Harrisonburg, VA",25500,12/06/2022,36.0,Good,Ozone,51-165-0003,1
"Baraboo, WI",12660,4/08/2022,30.0,Good,Ozone,55-111-0007,1
"Columbus, GA-AL",17980,11/08/2022,32.0,Good,Ozone,13-215-0008,1
"Gettysburg, PA",23900,27/07/2022,41.0,Good,Ozone,42-001-9991,2
"Riverside-San Bernardino-Ontario, CA",40140,11/04/2022,644.0,Hazardous,PM10,06-065-0500,27
"Clinton, IA",17540,22/02/2022,36.0,Good,PM2.5,19-045-0019,2
"Fargo, ND-MN",22020,25/03/2022,32.0,Good,,38-017-1004,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,29/07/2022,45.0,Good,Ozone,11-001-0043,9
"Fort Payne, AL",22840,28/06/2022,45.0,Good,Ozone,01-049-9991,2
"Medford, OR",32780,7/02/2022,53.0,Moderate,PM2.5,41-029-2129,4
"Kingsville, TX",28780,14/03/2022,33.0,Good,PM2.5,48-273-0314,1
"Chattanooga, TN-GA",16860,18/08/2022,53.0,Moderate,PM2.5,13-295-0004,4
"Longview, TX",30980,22/07/2022,30.0,Good,Ozone,48-183-0001,1
"Austin-Round Rock, TX",12420,9/04/2022,58.0,Moderate,Ozone,48-453-0020,4
"Juneau, AK",27940,3/05/2022,3.0,Good,PM2.5,02-110-0004,1
"Jackson, TN",27180,13/04/2022,18.0,Good,PM2.5,47-113-0010,1
"Huntsville, AL",26620,14/03/2022,44.0,Good,Ozone,01-089-0014,3
"Morristown, TN",34100,27/04/2022,49.0,Good,Ozone,47-089-0002,1
"Kapaa, HI",28180,28/01/2022,5.0,Good,PM2.5,15-007-0007,1
"Huntsville, AL",26620,9/02/2022,31.0,Good,PM2.5,01-089-0014,2
"Colorado Springs, CO",17820,18/08/2022,84.0,Moderate,Ozone,08-041-0013,4
"Bellingham, WA",13380,4/01/2022,10.0,Good,PM2.5,53-073-0019,1
"Greenville, NC",24780,3/07/2022,36.0,Good,Ozone,37-147-0006,1
"Redding, CA",39820,19/06/2022,32.0,Good,Ozone,06-089-3003,1
"Pensacola-Ferry Pass-Brent, FL",37860,30/03/2022,58.0,Moderate,Ozone,12-113-0015,3
"Wenatchee, WA",48300,24/01/2022,34.0,Good,PM2.5,53-007-0010,3
"Canton-Massillon, OH",15940,6/04/2022,39.0,Good,Ozone,39-151-0016,4
"Barnstable Town, MA",12700,29/06/2022,45.0,Good,Ozone,25-001-0002,1
"Augusta-Richmond County, GA-SC",12260,3/03/2022,97.0,Moderate,PM2.5,13-245-0091,4
"Carlsbad-Artesia, NM",16100,11/02/2022,44.0,Good,Ozone,35-015-0010,2
"Chico, CA",17020,6/01/2022,30.0,Good,PM2.5,06-007-4001,4
"Evanston, WY",21740,19/01/2022,4.0,Good,PM10,56-041-0201,2
"Chattanooga, TN-GA",16860,21/10/2022,51.0,Moderate,PM2.5,47-065-4002,3
"Chattanooga, TN-GA",16860,13/03/2022,44.0,Good,Ozone,47-065-1011,4
"Lake Charles, LA",29340,23/05/2022,40.0,Good,PM2.5,22-019-0008,3
"Spartanburg, SC",43900,26/07/2022,31.0,Good,Ozone,45-083-0009,2
"Show Low, AZ",43320,14/07/2022,80.0,Moderate,,04-017-0119,2
"Riverside-San Bernardino-Ontario, CA",40140,21/01/2022,73.0,Moderate,PM10,06-065-0500,29
"Ashtabula, OH",11780,30/05/2022,50.0,Good,Ozone,39-007-1001,1
"McAllen-Edinburg-Mission, TX",32580,11/04/2022,62.0,Moderate,PM2.5,48-215-1046,2
"Terre Haute, IN",45460,21/07/2022,57.0,Moderate,,18-167-0018,2
"Salt Lake City, UT",41620,11/07/2022,77.0,Moderate,Ozone,49-035-3010,9
"Athens-Clarke County, GA",12020,13/02/2022,31.0,Good,PM2.5,13-059-0002,1
"Gainesville, GA",23580,15/08/2022,53.0,Moderate,PM2.5,13-139-0003,1
"Wilmington, NC",48900,31/05/2022,38.0,Good,Ozone,37-129-0002,1
"Weirton-Steubenville, WV-OH",48260,14/08/2022,39.0,Good,PM2.5,39-081-0017,1
"Jackson, MS",27140,10/02/2022,,Moderate,PM2.5,28-049-0021,2
"Champaign-Urbana, IL",16580,14/06/2022,80.0,Moderate,PM2.5,17-019-1001,2
"Altoona, PA",11020,5/05/2022,42.0,Good,Ozone,42-013-0801,1
"Prescott, AZ",39140,20/04/2022,44.0,Good,Ozone,04-025-8034,1
"Fairbanks, AK",21820,25/02/2022,75.0,Moderate,PM2.5,02-090-0034,3
"Eau Claire, WI",20740,3/01/2022,54.0,Moderate,PM2.5,55-035-0014,1
"North Port-Sarasota-Bradenton, FL",35840,12/01/2022,41.0,Good,Ozone,12-081-4012,6
"Pocatello, ID",38540,13/02/2022,62.0,Moderate,PM2.5,16-005-0015,1
"Lafayette, LA",29180,20/07/2022,37.0,Good,PM2.5,22-055-0007,2
"Sheboygan, WI",43100,29/09/2022,31.0,Good,Ozone,55-117-0006,2
"Milwaukee-Waukesha-West Allis, WI",33340,28/02/2022,58.0,Moderate,PM2.5,55-133-0027,4
"York-Hanover, PA",49620,13/08/2022,,Good,PM2.5,42-133-0008,1
"Akron, OH",10420,8/09/2022,30.0,Good,PM2.5,39-153-0017,3
"Lewiston-Auburn, ME",30340,22/01/2022,56.0,Moderate,PM2.5,23-001-0011,1
"Lafayette-West Lafayette, IN",29200,25/05/2022,30.0,Good,,18-015-0002,2
"Longview, WA",31020,23/03/2022,6.0,Good,PM2.5,53-015-0015,1
"St. George, UT",41100,24/06/2022,67.0,Moderate,,49-053-0007,2
"San Francisco-Oakland-Hayward, CA",41860,6/01/2022,33.0,Good,PM2.5,06-001-0012,13
"Mobile, AL",33660,17/02/2022,31.0,Good,PM2.5,01-097-0003,1
"Juneau, AK",27940,9/06/2022,12.0,Good,PM2.5,02-110-0004,1
"Greensboro-High Point, NC",24660,12/08/2022,34.0,Good,Ozone,37-081-0013,2
"Cambridge, MD",15700,24/04/2022,48.0,Good,,24-019-9991,2
"Greensboro-High Point, NC",24660,29/06/2022,54.0,Moderate,Ozone,37-157-0099,2
"Cedar Rapids, IA",16300,6/09/2022,45.0,Good,PM2.5,19-113-0040,2
"Grand Junction, CO",24300,22/07/2022,67.0,Moderate,Ozone,08-077-0020,2
"Lawrenceburg, TN",29980,14/05/2022,35.0,Good,PM2.5,47-099-0003,1
"McAlester, OK",32540,17/02/2022,21.0,Good,PM2.5,40-121-0415,1
"Kokomo, IN",29020,6/03/2022,34.0,Good,Ozone,18-067-0004,1
"Portsmouth, OH",39020,27/01/2022,12.0,Good,PM10,39-145-0021,3
"Grand Island, NE",24260,15/07/2022,38.0,Good,PM2.5,31-079-0005,1
"Cleveland, MS",17380,15/01/2022,21.0,Good,PM2.5,28-011-0002,1
"Ca¤on City, CO",15860,16/02/2022,18.0,Good,PM10,08-043-0003,1
"San Francisco-Oakland-Hayward, CA",41860,17/05/2022,53.0,Moderate,PM2.5,06-013-1004,13
"Corpus Christi, TX",18580,31/07/2022,33.0,Good,PM2.5,48-355-0032,4
"San Francisco-Oakland-Hayward, CA",41860,11/06/2022,27.0,Good,Ozone,06-013-1004,13
"Racine, WI",39540,26/04/2022,32.0,Good,,55-101-0020,1
"Davenport-Moline-Rock Island, IA-IL",19340,4/08/2022,44.0,Good,Ozone,19-163-0015,4
"Lawton, OK",30020,29/09/2022,74.0,Moderate,,40-031-0651,1
"Farmington, NM",22140,10/07/2022,74.0,Moderate,Ozone,35-045-0018,5
"Lincoln, NE",30700,18/04/2022,41.0,Good,Ozone,31-109-0016,1
"Red Bluff, CA",39780,27/04/2022,58.0,Moderate,Ozone,06-103-0004,2
"Fargo, ND-MN",22020,12/01/2022,52.0,Moderate,PM2.5,38-017-1004,1
"Crescent City, CA",18860,26/01/2022,23.0,Good,PM2.5,06-015-0007,1
"Walla Walla, WA",47460,27/03/2022,30.0,Good,Ozone,53-013-9991,4
"Eureka-Arcata-Fortuna, CA",21700,10/08/2022,17.0,Good,Ozone,06-023-1004,1
"Kansas City, MO-KS",28140,12/06/2022,54.0,Moderate,PM2.5,20-209-0021,11
"Fairbanks, AK",21820,8/06/2022,29.0,Good,PM10,02-090-0034,3
"Stockton-Lodi, CA",44700,2/03/2022,40.0,Good,PM2.5,06-077-2010,3
"Hermiston-Pendleton, OR",25840,9/05/2022,36.0,Good,Ozone,41-059-1003,2
"Greenville-Anderson-Mauldin, SC",24860,27/02/2022,30.0,Good,PM2.5,45-045-0015,2
"San Antonio-New Braunfels, TX",41700,14/01/2022,56.0,Moderate,PM2.5,48-029-0677,7
"Lansing-East Lansing, MI",29620,12/06/2022,46.0,Good,Ozone,26-037-0002,2
"Shreveport-Bossier City, LA",43340,21/01/2022,,Good,Ozone,22-017-0001,2
"Grand Rapids-Wyoming, MI",24340,27/03/2022,36.0,Good,Ozone,26-081-0022,3
"Norwich-New London, CT",35980,20/03/2022,28.0,Good,Ozone,09-011-0124,1
"Grand Rapids-Wyoming, MI",24340,3/04/2022,44.0,Good,PM2.5,26-139-0005,3
"Ashtabula, OH",11780,25/04/2022,36.0,Good,,39-007-1001,1
"Indiana, PA",26860,29/05/2022,42.0,Good,,42-063-0004,1
"Columbus, IN",18020,11/04/2022,40.0,Good,Ozone,18-005-0007,2
"Santa Cruz-Watsonville, CA",42100,8/02/2022,41.0,Good,PM2.5,06-087-0007,2
"Shelton, WA",43220,4/07/2022,29.0,Good,PM2.5,53-045-0007,1
"Wheeling, WV-OH",48540,11/02/2022,65.0,Moderate,PM2.5,54-051-1002,2
"Jackson, MS",27140,9/01/2022,33.0,Good,PM2.5,28-049-0020,2
"Summerville, GA",44900,2/03/2022,49.0,Good,Ozone,13-055-0001,1
"Bishop, CA",13860,2/03/2022,60.0,Moderate,PM2.5,06-027-1023,15
"Dyersburg, TN",20540,23/03/2022,12.0,Good,PM2.5,47-045-0004,1
"Denver-Aurora-Lakewood, CO",19740,17/03/2022,66.0,Moderate,NO2,08-031-0027,15
"Richmond, VA",40060,16/01/2022,29.0,Good,Ozone,51-087-0014,3
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,7/07/2022,54.0,Moderate,PM2.5,47-037-0023,4
"Walla Walla, WA",47460,11/08/2022,34.0,Good,Ozone,53-013-9991,1
"Memphis, TN-MS-AR",32820,18/09/2022,53.0,Moderate,PM2.5,28-033-0002,2
"Sheridan, WY",43260,20/05/2022,38.0,Good,Ozone,56-033-0004,2
"Watertown, SD",47980,23/06/2022,87.0,Moderate,Ozone,46-029-0002,1
"Jacksonville, FL",27260,6/01/2022,53.0,Moderate,PM2.5,12-031-0108,7
"Charlotte-Concord-Gastonia, NC-SC",16740,6/04/2022,44.0,Good,,37-159-0021,8
"Great Falls, MT",24500,28/02/2022,6.0,Good,PM2.5,30-013-0001,1
"Gainesville, FL",23540,22/06/2022,47.0,Good,Ozone,12-001-3012,1
"Price, UT",39220,19/05/2022,43.0,Good,Ozone,49-007-1003,1
"Sayre, PA",42380,15/03/2022,45.0,Good,Ozone,42-015-0011,1
"Winston-Salem, NC",49180,24/01/2022,51.0,Moderate,PM2.5,37-067-0030,3
"Corpus Christi, TX",18580,10/05/2022,49.0,Good,PM2.5,48-355-0032,4
"Elko, NV",21220,20/05/2022,10.0,Good,PM10,32-007-0005,1
"Greenville, NC",24780,29/05/2022,,Good,Ozone,37-147-0006,1
"Fayetteville-Springdale-Rogers, AR-MO",22220,9/03/2022,43.0,Good,Ozone,05-143-0006,2
"Evansville, IN-KY",21780,19/03/2022,29.0,Good,Ozone,18-163-0013,6
"Wheeling, WV-OH",48540,31/03/2022,47.0,Good,PM2.5,54-051-1002,3
"Flagstaff, AZ",22380,1/07/2022,41.0,Good,Ozone,04-005-8001,2
"Kokomo, IN",29020,14/06/2022,66.0,Moderate,PM2.5,18-067-0004,1
"Monroe, LA",33740,25/05/2022,43.0,Good,Ozone,22-073-0004,1
"Roanoke Rapids, NC",40260,6/03/2022,36.0,Good,PM2.5,37-131-0003,1
"Durango, CO",20420,8/04/2022,46.0,Good,Ozone,08-067-7001,3
"Rockford, IL",40420,9/05/2022,42.0,Good,Ozone,17-201-2001,2
"Gainesville, FL",23540,22/03/2022,51.0,Moderate,Ozone,12-001-3012,1
"Iowa City, IA",26980,21/01/2022,53.0,Moderate,PM2.5,19-103-2001,1
"Indianapolis-Carmel-Anderson, IN",26900,8/06/2022,44.0,Good,Ozone,18-097-0078,11
"Laramie, WY",29660,7/06/2022,77.0,Moderate,Ozone,56-001-9991,7
"Americus, GA",11140,18/05/2022,49.0,Good,Ozone,13-261-1001,1
"Missoula, MT",33540,2/03/2022,70.0,Moderate,PM2.5,30-063-0038,3
"Hobbs, NM",26020,3/05/2022,54.0,Moderate,Ozone,35-025-0008,1
"Sayre, PA",42380,2/05/2022,36.0,Good,Ozone,42-015-0011,1
"Hattiesburg, MS",25620,13/07/2022,34.0,Good,PM2.5,28-035-0004,1
"Gainesville, GA",23580,19/02/2022,20.0,Good,PM2.5,13-139-0003,1
"Kalamazoo-Portage, MI",28020,13/01/2022,78.0,Moderate,PM2.5,26-077-0008,1
"Butte-Silver Bow, MT",15580,15/06/2022,9.0,Good,PM10,30-093-0005,1
"Macon, GA",31420,7/09/2022,37.0,Good,Ozone,13-021-0012,1
"Houston-The Woodlands-Sugar Land, TX",26420,19/05/2022,64.0,Moderate,Ozone,48-339-0078,24
"Moscow, ID",34140,22/03/2022,0.0,Good,PM2.5,16-057-0005,1
"Champaign-Urbana, IL",16580,17/01/2022,45.0,Good,,17-019-1001,2
"Provo-Orem, UT",39340,28/03/2022,37.0,Good,Ozone,49-049-4001,2
"Nogales, AZ",35700,16/03/2022,44.0,Good,PM10,04-023-0004,1
"Albuquerque, NM",10740,5/04/2022,52.0,Moderate,PM10,35-001-1013,7
"Iowa City, IA",26980,17/03/2022,46.0,Good,PM2.5,19-103-2001,1
"Albuquerque, NM",10740,26/02/2022,46.0,Good,Ozone,35-001-1012,7
"Providence-Warwick, RI-MA",39300,22/01/2022,40.0,Good,PM2.5,44-007-1010,6
"Sayre, PA",42380,14/08/2022,20.0,Good,PM2.5,42-015-0011,1
"Tyler, TX",46340,24/08/2022,26.0,Good,Ozone,48-423-0007,1
"Kingsport-Bristol-Bristol, TN-VA",28700,16/01/2022,22.0,Good,PM2.5,47-163-1007,1
"Davenport-Moline-Rock Island, IA-IL",19340,6/09/2022,37.0,Good,Ozone,17-161-3002,4
"Gainesville, GA",23580,24/01/2022,52.0,Moderate,,13-139-0003,1
"Grand Island, NE",24260,1/09/2022,26.0,Good,PM2.5,31-079-0005,1
"Longview, WA",31020,17/03/2022,22.0,Good,PM2.5,53-015-0015,1
"Riverside-San Bernardino-Ontario, CA",40140,13/08/2022,19.0,Good,PM10,06-065-1999,1
"Casper, WY",16220,17/04/2022,46.0,Good,Ozone,56-025-0100,2
"Urban Honolulu, HI",46520,3/04/2022,40.0,Good,Ozone,15-003-1004,3
"Klamath Falls, OR",28900,28/02/2022,19.0,Good,PM2.5,41-035-0004,1
"Spartanburg, SC",43900,6/02/2022,32.0,Good,PM2.5,45-083-0011,1
"Cadillac, MI",15620,8/08/2022,27.0,Good,,26-165-9991,1
"Utica-Rome, NY",46540,21/02/2022,33.0,Good,PM2.5,36-065-2001,1
"Birmingham-Hoover, AL",13820,28/06/2022,71.0,Moderate,Ozone,01-073-1005,10
"Laconia, NH",29060,12/05/2022,41.0,Good,Ozone,33-001-2004,1
"Helena, MT",25740,31/05/2022,42.0,Good,Ozone,30-049-0004,2
"Springfield, IL",44100,2/02/2022,31.0,Good,PM2.5,17-167-0012,1
"Vincennes, IN",47180,17/02/2022,31.0,Good,Ozone,18-083-9991,1
"Cambridge, MD",15700,15/05/2022,37.0,Good,Ozone,24-019-9991,2
"Grand Junction, CO",24300,2/09/2022,,Moderate,Ozone,08-077-0020,2
"Dallas-Fort Worth-Arlington, TX",19100,18/03/2022,43.0,Good,Ozone,48-251-0003,25
"Keene, NH",28300,28/02/2022,38.0,Good,Ozone,33-005-0007,1
"Urban Honolulu, HI",46520,30/06/2022,24.0,Good,PM2.5,15-003-0010,3
"Naples-Immokalee-Marco Island, FL",34940,9/02/2022,39.0,Good,Ozone,12-021-0004,1
"Lexington-Fayette, KY",30460,25/01/2022,52.0,Moderate,PM2.5,21-067-0012,1
"Show Low, AZ",43320,13/08/2022,7.0,Good,PM10,04-017-1002,1
"Little Rock-North Little Rock-Conway, AR",30780,14/01/2022,30.0,Good,Ozone,05-119-1002,2
"Berlin, NH-VT",13620,13/01/2022,40.0,Good,Ozone,33-007-4001,1
"Baraboo, WI",12660,20/02/2022,31.0,Good,PM2.5,55-111-0007,1
"Yuma, AZ",49740,1/05/2022,87.0,Moderate,Ozone,04-027-8011,1
"Dickinson, ND",19860,2/01/2022,38.0,Good,,38-007-0002,1
"Panama City, FL",37460,11/03/2022,26.0,Good,Ozone,12-005-0006,1
"Eugene, OR",21660,28/05/2022,183.0,Unhealthy,PM2.5,41-039-0060,8
"Dodge City, KS",19980,28/01/2022,6.0,Good,,20-057-0002,1
"Yuba City, CA",49700,5/05/2022,39.0,Good,Ozone,06-101-0004,2
"Williamsport, PA",48700,6/05/2022,33.0,Good,Ozone,42-081-0100,2
"Norwich-New London, CT",35980,18/02/2022,22.0,Good,PM2.5,09-011-0124,1
"Chico, CA",17020,4/02/2022,75.0,Moderate,PM2.5,06-007-4001,4
"Longview, TX",30980,31/08/2022,58.0,Moderate,Ozone,48-183-0001,1
"Erie, PA",21500,23/01/2022,,Good,PM2.5,42-049-0003,1
"Sacramento--Roseville--Arden-Arcade, CA",40900,21/01/2022,55.0,Moderate,PM2.5,06-067-0006,14
"Morristown, TN",34100,7/03/2022,30.0,Good,Ozone,47-089-0002,1
"Fond du Lac, WI",22540,17/09/2022,40.0,Good,Ozone,55-039-0006,1
"Memphis, TN-MS-AR",32820,11/01/2022,30.0,Good,Ozone,47-157-0075,5
"San Jose-Sunnyvale-Santa Clara, CA",41940,1/06/2022,71.0,Moderate,,06-069-0003,8
"Albany-Schenectady-Troy, NY",10580,22/06/2022,39.0,Good,Ozone,36-001-0012,3
"Worcester, MA-CT",49340,28/07/2022,46.0,Good,,09-015-9991,1
"Columbus, IN",18020,25/06/2022,74.0,Moderate,,18-005-0007,2
"Jacksonville, FL",27260,29/06/2022,35.0,Good,Ozone,12-031-0106,7
"Lincoln, NE",30700,27/04/2022,47.0,Good,Ozone,31-109-0016,1
"Amarillo, TX",11100,25/05/2022,49.0,Good,Ozone,48-381-9991,2
"Salt Lake City, UT",41620,18/09/2022,43.0,Good,Ozone,49-035-3013,9
"Olympia-Tumwater, WA",36500,3/06/2022,27.0,Good,Ozone,53-067-0013,1
"Middlesborough, KY",33180,18/05/2022,80.0,Moderate,,21-013-0002,1
"Stockton-Lodi, CA",44700,28/03/2022,32.0,Good,Ozone,06-077-3005,3
"College Station-Bryan, TX",17780,29/04/2022,24.0,Good,PM2.5,48-041-1086,1
"Grand Rapids-Wyoming, MI",24340,29/04/2022,46.0,Good,Ozone,26-081-0022,2
"Louisville/Jefferson County, KY-IN",31140,6/08/2022,27.0,Good,Ozone,18-019-0008,2
"Marietta, OH",31930,6/03/2022,48.0,Good,Ozone,39-167-0004,1
"Paducah, KY-IL",37140,7/06/2022,47.0,Good,Ozone,21-139-0003,2
"State College, PA",44300,8/02/2022,59.0,Moderate,PM2.5,42-027-0100,2
"Topeka, KS",45820,27/06/2022,45.0,Good,Ozone,20-177-0013,1
"Shreveport-Bossier City, LA",43340,6/06/2022,37.0,Good,PM2.5,22-015-0008,2
"Utica-Rome, NY",46540,25/02/2022,20.0,Good,PM2.5,36-065-2001,1
"Macon, GA",31420,14/04/2022,36.0,Good,PM2.5,13-021-0012,2
"Louisville/Jefferson County, KY-IN",31140,13/09/2022,26.0,Good,Ozone,18-019-0008,1
"Evansville, IN-KY",21780,21/05/2022,48.0,Good,,18-163-0021,6
"Shreveport-Bossier City, LA",43340,29/07/2022,33.0,Good,,22-015-0008,2
"Joplin, MO",27900,19/02/2022,17.0,Good,PM10,29-097-0003,1
